epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8787,0.84036,4.55971,1.295,0,0,0,0,0.34086,4.69081,1.05507,4.608e-05,4.608e-05,4.608e-05
2,114.966,0.78633,4.45779,1.25473,0,0,0,0,0.36555,4.55517,0.9219,9.22172e-05,9.22172e-05,9.22172e-05
3,173.029,0.73127,4.29593,1.21943,0,0,0,0,0.58827,4.61357,1.12782,0.000136454,0.000136454,0.000136454
4,233.678,0.74155,4.17605,1.21375,0,0,0,0,0.77518,4.58377,1.38821,0.000178789,0.000178789,0.000178789
5,305.824,0.73702,3.97577,1.22665,0.25,0.33333,0.41791,0.37612,0.6811,4.36859,1.24279,0.000176794,0.000176794,0.000176794
6,374.033,0.76518,3.84211,1.22971,0.25,0.33333,0.41791,0.37612,0.49294,4.21689,1.03322,0.000172992,0.000172992,0.000172992
7,440.71,0.754,3.68132,1.20596,0.125,0.66667,0.40004,0.36003,0.47308,4.01628,1.026,0.00016919,0.00016919,0.00016919
8,496.932,0.77003,3.51812,1.21379,0.13333,0.66667,0.42344,0.36783,0.55363,4.10119,1.20729,0.000165389,0.000165389,0.000165389
9,544.575,0.76434,3.43093,1.22778,0.09091,0.33333,0.36515,0.32864,0.63983,4.2652,1.24729,0.000161587,0.000161587,0.000161587
10,609.429,0.7318,3.28198,1.20171,0.11111,0.33333,0.37185,0.33467,0.67739,4.23497,1.2146,0.000157786,0.000157786,0.000157786
11,667.64,0.78471,3.16153,1.24798,0.13333,0.66667,0.57744,0.5197,0.65726,4.03973,1.06242,0.000153984,0.000153984,0.000153984
12,722.489,0.76988,3.12022,1.2435,0.15,1,0.59,0.51788,0.61604,3.76527,1.04478,0.000150182,0.000150182,0.000150182
13,786.851,0.76099,2.94931,1.21303,0.25,0.66667,0.48708,0.41788,0.65233,3.67698,1.24019,0.000146381,0.000146381,0.000146381
14,850.061,0.73469,2.77616,1.20454,0.11111,0.33333,0.37185,0.33467,0.48246,4.3271,1.17275,0.000142579,0.000142579,0.000142579
15,907.67,0.76694,2.76404,1.24402,0.33333,0.33333,0.44555,0.40099,0.59013,4.36808,1.23695,0.000138778,0.000138778,0.000138778
16,966.58,0.73615,2.66942,1.20993,0.7459,0.33333,0.41791,0.37612,0.48189,4.19916,1.24965,0.000134976,0.000134976,0.000134976
17,1017.84,0.73672,2.57396,1.21475,0.5,0.33333,0.50082,0.45074,0.45725,4.11991,1.24289,0.000131174,0.000131174,0.000131174
18,1067.58,0.74437,2.60112,1.211,1,0.33333,0.66665,0.53332,0.44483,4.29663,1.21826,0.000127373,0.000127373,0.000127373
19,1117.92,0.7164,2.42947,1.19885,1,0.33333,0.66665,0.53332,0.43328,4.30934,1.18338,0.000123571,0.000123571,0.000123571
20,1167.14,0.69395,2.37177,1.1837,1,0.33333,0.66665,0.53332,0.44281,4.1111,1.2208,0.00011977,0.00011977,0.00011977
21,1216.59,0.71321,2.3121,1.17692,1,0.33333,0.66665,0.53332,0.50255,4.32636,1.21173,0.000115968,0.000115968,0.000115968
22,1281.58,0.70226,2.3178,1.17642,0.5,0.33333,0.50082,0.45074,0.40001,4.3669,1.07468,0.000112166,0.000112166,0.000112166
23,1344.77,0.69466,2.21761,1.16004,0.33333,0.66667,0.7211,0.5716,0.46765,4.10867,1.16694,0.000108365,0.000108365,0.000108365
24,1408.32,0.70763,2.13285,1.18715,0.33333,0.66667,0.7211,0.62143,0.52603,4.02235,1.15773,0.000104563,0.000104563,0.000104563
25,1470.99,0.67692,2.15208,1.16348,0.5,0.66667,0.63915,0.59469,0.40008,3.97664,1.11917,0.000100762,0.000100762,0.000100762
26,1534.7,0.70713,2.10359,1.16961,0.33333,0.66667,0.5231,0.48302,0.3893,4.00107,1.11611,9.696e-05,9.696e-05,9.696e-05
27,1597.77,0.6949,2.0277,1.16058,0.4,0.66667,0.53432,0.49422,0.4256,4.25316,1.12702,9.31584e-05,9.31584e-05,9.31584e-05
28,1661.53,0.65851,2.08158,1.14271,0.28571,0.66667,0.47737,0.43916,0.42807,4.06026,1.10509,8.93568e-05,8.93568e-05,8.93568e-05
29,1724.56,0.69201,1.97207,1.17784,0.14286,0.33333,0.38238,0.38238,0.39416,4.10594,1.0603,8.55552e-05,8.55552e-05,8.55552e-05
30,1788.37,0.67845,1.97434,1.15423,0.33333,0.66667,0.5231,0.48302,0.3472,4.00894,1.08382,8.17536e-05,8.17536e-05,8.17536e-05
31,1851.63,0.67308,1.9774,1.15463,0.25,0.66667,0.59708,0.55268,0.30825,3.97945,1.06057,7.7952e-05,7.7952e-05,7.7952e-05
32,4258.52,0.64977,1.88763,1.1333,0.22222,0.66667,0.7024,0.63216,0.4144,4.03535,1.07912,7.41504e-05,7.41504e-05,7.41504e-05
33,4334.51,0.66261,1.84489,1.1353,0.25,0.66667,0.70708,0.65726,0.3077,4.05226,1.05994,7.03488e-05,7.03488e-05,7.03488e-05
34,4407.73,0.64091,1.80534,1.14684,0.25,0.66667,0.59708,0.55268,0.38615,3.97751,1.10657,6.65472e-05,6.65472e-05,6.65472e-05
35,4480.04,0.63204,1.82174,1.12293,0.5,0.66667,0.58415,0.5424,0.43132,4.04724,1.15284,6.27456e-05,6.27456e-05,6.27456e-05
36,4553.54,0.65662,1.80568,1.15369,0.28571,0.66667,0.60309,0.55868,0.4554,3.98262,1.19518,5.8944e-05,5.8944e-05,5.8944e-05
37,4613.46,0.6316,1.7797,1.1401,0.4,0.66667,0.73232,0.63262,0.46456,3.93862,1.17672,5.51424e-05,5.51424e-05,5.51424e-05
38,4679.44,0.61397,1.77978,1.1386,0.4,0.66667,0.73232,0.63262,0.45531,3.88824,1.16056,5.13408e-05,5.13408e-05,5.13408e-05
39,4732.95,0.64296,1.76046,1.1259,0.4,0.66667,0.73232,0.63262,0.43004,3.85542,1.14565,4.75392e-05,4.75392e-05,4.75392e-05
40,4783.16,0.61234,1.76379,1.1261,0.33333,0.66667,0.5561,0.47268,0.40989,3.93656,1.11987,4.37376e-05,4.37376e-05,4.37376e-05
41,4832.14,0.58438,1.84364,1.1126,0.16667,0.66667,0.52805,0.44472,0.47925,3.80613,1.11081,3.9936e-05,3.9936e-05,3.9936e-05
42,4880.47,0.54731,1.75994,1.09001,0.2,0.66667,0.45116,0.40604,0.52172,3.84032,1.11862,3.61344e-05,3.61344e-05,3.61344e-05
43,4944.98,0.54004,1.75263,1.08898,0.14286,0.33333,0.38238,0.34414,0.51053,3.82144,1.121,3.23328e-05,3.23328e-05,3.23328e-05
44,4997.85,0.52118,1.66075,1.04742,0.16667,0.33333,0.39028,0.35125,0.50209,3.77421,1.12115,2.85312e-05,2.85312e-05,2.85312e-05
45,5047.21,0.51867,1.6509,1.06546,0.16667,0.66667,0.43638,0.39274,0.466,3.76942,1.08603,2.47296e-05,2.47296e-05,2.47296e-05
46,5102.2,0.51166,1.61425,1.03806,0.15385,0.66667,0.44339,0.39905,0.43991,3.81723,1.07459,2.0928e-05,2.0928e-05,2.0928e-05
47,5158.51,0.49632,1.6236,1.04212,0.15385,0.66667,0.44339,0.36145,0.45986,3.83814,1.10359,1.71264e-05,1.71264e-05,1.71264e-05
48,5219.9,0.50854,1.62933,1.03586,0.13333,0.66667,0.45173,0.37537,0.46183,3.78668,1.10487,1.33248e-05,1.33248e-05,1.33248e-05
49,5273.78,0.48963,1.59158,1.04119,0.18182,0.66667,0.4756,0.39768,0.46107,3.80033,1.1089,9.5232e-06,9.5232e-06,9.5232e-06
50,5347.15,0.48769,1.56517,1.0388,0.15385,0.66667,0.47089,0.39298,0.45259,3.81027,1.09964,5.7216e-06,5.7216e-06,5.7216e-06
